FirstName,LastName,UserName,OU,Password,email,
Admin,Administrator,aadministrator,mgmt,Password123!,adiministrator.admin.mgmt@nullbyte.exe,
Akileswar,Prathapkumar,akileswar,dev,Password123!,akileswar.prathapkumar.dev@nullbyte.exe,
Alice,Smith,asmith,dev,Password123!,alice.smith.dev@nullbyte.com,
Bob,Johnson,bjohnson,dev,Password123!,bob.johnson.dev@nullbyte.exe,
Charlie,Brown,cbrown,svc,Password123!,charlie.brown.svc@nullbyte.exe,
Daisy,White,dwhite,ext,Password123!,daisy.white.ext@nullbyte.exe,
Diana,Prince,dprince,svc,Password123!,diana.prince.svc@nullbyte.exe,
Ethan,Hunt,ehunt,mgmt,Password123!,ethan.hunt.mgmt@nullbyte.exe,
Eve,Adams,eadams,mgmt,Password123!,eve.adams.mgmt@nullbyte.exe,
Fiona,Green,fgreen,svc,Password123!,fiona.green.svc@nullbyte.exe,
Frank,Castle,fcastle,mgmt,Password123!,frank.castle.mgmt@nullbyte.exe,
George,Black,gblack,dev,Password123!,george.black.dev@nullbyte.exe,
Grace,Hopper,ghopper,svc,Password123!,grace.hopper.svc@nullbyte.exe,
Hank,Pym,hpym,ext,Password123!,hank.pym.ext@nullbyte.exe,
Hannah,Brown,hbrown,mgmt,Password123!,hannah.brown.mgmt@nullbyte.exe,
Ian,Wright,Iwright,svc,Password123!,ian.wright.svc@nullbyte.exe,
Jesvi,jonathan,jesvi,dev,Password123!,jesvi.jonathan.dev@nullbyte.exe,
Julia,Roberts,jroberts,mgmt,Password123!,julia.roberts.mgmt@nullbyte.exe,
Karan,Mehta,kmehta,dev,Password123!,karan.mehta.dev@nullbyte.exe,
Nikhil,Sharma ,nsharma,svc,Password123!,nikhil.sharma.svc@nullbyte.exe,
Rajashree,Dinakaran,rajashree,mgmt,Password123!,rajashree.dinakran.dev@nullbyte.exe,
Rashmi,Abdulrahim,rasmi,svc,Password123!,rashmi.abdulrahim.ext@nullbyte.exe,
Sanya,Verma,sverma,mgmt,Password123!,anya.verma.mgmt@nullbyte.exe,
,,,,,,
